no,country,pop,land_area,fert_rate,med_age,urban_pop_per,world_share,latitude,longitude
132,Eritrea,3535603,101000,3.7,19,0.74,0.0004,15.9500319,37.9999668
133,Mongolia,3475540,1553560,2.6,27,0.67,0.0004,46.8250388,103.8499736
134,Uruguay,3386588,175020,1.4,36,N.A.,0.0004,-32.8755548,-56.0201525
135,Puerto Rico,3242204,8870,0.9,45,N.A.,0.0004,,
136,Bosnia and Herzegovina,3164253,51000,1.5,45,0.56,0.0004,44.3053476,17.5961467
137,Qatar,3048423,11610,1.7,34,0.97,0.0004,25.3336984,51.2295295
138,Moldova,3034961,32850,1.7,38,0.57,0.0004,47.2879608,28.5670941
139,Namibia,3030131,823290,3.2,21,0.54,0.0004,-23.2335499,17.3231107
140,Armenia,2973840,28470,1.7,36,0.63,0.0004,40.7696272,44.6736646
141,Lithuania,2859110,62674,1.2,42,0.68,0.0004,55.3500003,23.7499997
142,Jamaica,2839175,10830,1.4,32,0.6,0.0003,18.1850507,-77.3947693
143,Albania,2791765,27400,1.3,37,0.69,0.0003,41.000028,19.9999619
144,Gambia,2759988,10120,3.9,18,0.6,0.0003,13.470062,-15.4900464
145,Gabon,2538952,257670,3.6,22,0.84,0.0003,-0.8999695,11.6899699
146,Botswana,2521139,566730,2.7,23,0.75,0.0003,-23.1681782,24.5928742
147,Lesotho,2337423,30360,2.7,22,0.32,0.0003,-29.6039267,28.3350193
148,Guinea-Bissau,2201352,28120,3.8,19,0.46,0.0003,11.815215,-15.2351044
149,Slovenia,2118697,20140,1.6,44,0.55,0.0003,46.1199444,14.8153333
150,Equatorial Guinea,1892516,28050,4.1,21,0.63,0.0002,1.613172,10.5170357
151,Latvia,1871871,62200,1.3,43,0.67,0.0002,56.8406494,24.7537645
152,North Macedonia,1823009,25220,1.5,41,0.69,0.0002,41.6171214,21.7168387
153,Bahrain,1607049,760,1.8,33,N.A.,0.0002,26.1551249,50.5344606
154,Trinidad and Tobago,1507782,5130,1.5,37,0.49,0.0002,10.7466905,-61.0840075
155,Timor-Leste,1400638,14870,2.6,21,0.35,0.0002,-8.7443169,126.063482
156,Estonia,1360546,42390,1.4,42,0.66,0.0002,58.7523778,25.3319078
157,Cyprus,1358282,9240,1.4,38,0.61,0.0002,34.9823018,33.1451285
158,Mauritius,1271169,2030,1.2,37,0.41,0.0002,-20.2759451,57.5703566
159,Eswatini,1242822,17200,2.7,22,0.31,0.0002,-26.5624806,31.3991317
160,Djibouti,1168722,23180,2.6,25,0.71,0.0001,11.8145966,42.8453061
161,Fiji,928784,18270,2.3,28,0.6,0.0001,-18.1239696,179.0122737
162,Réunion,878591,2500,2.2,38,N.A.,0.0001,,
